"code","outstanding"
"000890","419491040.0"
"000892","710836480.0"
"000893","811720064.0"
"000895","3464123648.0"
"000897","1617241600.0"
"000898","7957197824.0"
"000899","975677760.0"
"000900","1517760896.0"
"000901","798193408.0"
"000902","1142782336.0"
"000903","1920261632.0"
"000905","741808128.0"
"000906","700153280.0"
"000908","879774336.0"
"000909","437710560.0"
"000910","547116992.0"
"000911","400319808.0"
"000912","1568000000.0"
"000913","459744256.0"
"000915","234198832.0"
"000917","1417459328.0"
"000919","590359488.0"
"000920","421977504.0"
"000921","911831296.0"
"000922","587318784.0"
"000923","627895744.0"
"000925","675081600.0"
"000926","1573046144.0"
"000927","6050350592.0"
"000928","1434627072.0"
"000929","185754224.0"
"000930","1856231296.0"
"000931","746029504.0"
"000932","6908546560.0"
"000933","2243188992.0"
"000935","763440320.0"
"000936","885887360.0"
"000937","3433394176.0"
"000938","2860079872.0"
"000948","389526496.0"
"000949","1699846784.0"
"000950","1728184704.0"
"000951","1174869376.0"
"000952","343984800.0"
"000953","366122208.0"
"000955","538044800.0"
"000957","592903936.0"
"000958","5383395840.0"
"000959","6507263488.0"
"000960","1645801984.0"
"000962","495652096.0"
"000963","1751941248.0"
"000965","1109830912.0"
"000966","2749327616.0"
"000967","3165435648.0"
"000968","967502656.0"
"000969","1026000320.0"
"000970","1215725824.0"
"000972","771283584.0"
"000973","967423168.0"
"000975","2487099648.0"
"000977","1470420864.0"
"000978","360090240.0"
"000980","4991513600.0"
"000981","9513320448.0"
"000983","4640213504.0"
"000985","129639504.0"
"000987","5014588928.0"
"000988","1004985664.0"
"000989","694153344.0"
"000990","1215236608.0"
"000993","439747584.0"
"000995","177408000.0"
"000997","1026404416.0"
"000998","1315050496.0"
"000999","1275652096.0"
"001201","164525968.0"
"001202","90440648.0"
"001203","1315065216.0"
"001205","159418800.0"
"001206","106195464.0"
"001207","196453920.0"
"001208","270072736.0"
"001209","96094640.0"
"001210","79418800.0"
"001211","66996576.0"
"001212","103009088.0"
"001213","4444444672.0"
"001215","99124416.0"
"001216","251866704.0"
"001217","328582656.0"
"001218","74464032.0"
"001219","189921440.0"
"001222","78545224.0"
"001223","16680000.0"
"001225","21038772.0"
"001226","18666700.0"
"001227","4212765440.0"
"001228","54864608.0"
"001229","29405908.0"
"001230","54077712.0"
"001231","36124000.0"
"001234","106666704.0"
"001236","326435648.0"
"001238","31977124.0"
"001239","92400000.0"
"001255","20000000.0"
"001256","40942880.0"
"001258","468709408.0"
"001259","21928888.0"
"001260","31750000.0"
"001266","35271600.0"
"001267","564660032.0"
"001268","41672608.0"
"001269","83900720.0"
"001270","101391960.0"
"001277","19000000.0"
"001278","50534500.0"
"001279","36804536.0"
"001282","55832000.0"
"001283","57855720.0"
"001286","1050000000.0"
"001287","437394496.0"
"001288","82629512.0"
"001289","5041934336.0"
"001296","76851336.0"
"001298","106266144.0"
"001299","51265440.0"
"001300","66219088.0"
"001301","161052352.0"
"001306","15500000.0"
"001308","239647648.0"
"001309","87636152.0"
"001311","60625448.0"
"001313","699132672.0"
"001314","51749500.0"
"001316","27207250.0"
"001317","41985576.0"
"001318","77060000.0"
"001319","63464576.0"
"001322","165612800.0"
"001323","77935000.0"
"001324","81653600.0"
"001326","20724524.0"
"001328","43043500.0"
"001330","1055178112.0"
"001331","50400000.0"
"001332","27000000.0"
"001333","44000000.0"
"001335","0.0"
"001336","28557260.0"
"001337","288456000.0"
"001338","235954480.0"
"001339","73119312.0"
"001356","121470024.0"
"001358","46896968.0"
"001359","46380000.0"
"001360","81781144.0"
"001366","55680000.0"
"001367","26154672.0"
"001368","28000000.0"
"001373","33131732.0"
"001376","211316720.0"
"001378","65049972.0"
"001379","67300000.0"
"001380","59466152.0"
"001382","60139492.0"
"001387","113910336.0"
"001388","0.0"
"001389","38070000.0"
"001390","0.0"
"001391","838943936.0"
"001395","19290404.0"
"001400","0.0"
"001696","891339712.0"
"001872","1744703488.0"
"001896","1525781376.0"
"001914","1060342784.0"
"001965","6820337152.0"
"001979","8322528768.0"
"002001","3037011968.0"
"002003","1018265024.0"
"002004","1882228992.0"
"002005","1751993216.0"
"002006","455160000.0"
"002007","1573702912.0"
"002008","979316992.0"
"002009","353584992.0"
"002010","2780769536.0"
"002011","916311424.0"
"002012","466537632.0"
"002014","604336320.0"
"002015","1623324672.0"
"002016","809095616.0"
"002017","580085888.0"
"002019","841474048.0"
"002020","723968320.0"
"002021","1205372416.0"
"002022","514244992.0"
"002023","740860224.0"
"002024","9194047488.0"
"002025","452561024.0"
"002026","428165152.0"
"002027","14442200064.0"
"002028","605946048.0"
"002029","665405952.0"
"002030","1403446016.0"
"002031","1982248064.0"
"002032","800397248.0"
"002033","549480192.0"
"002034","431830208.0"
"002035","780523072.0"
"002036","1052909504.0"
"002037","483883552.0"
"002038","851538496.0"
"002039","427558112.0"
"002040","485940160.0"
"002041","880000000.0"
"002042","1700681344.0"
"002043","733474688.0"
"002044","3872448768.0"
"002045","561832896.0"
"002046","525869984.0"
"002047","1516171776.0"
"002048","709801408.0"
"002049","849423616.0"
"002050","3670449920.0"
"002051","1237288192.0"
"002052","723084544.0"
"002053","920700288.0"
"002054","384375680.0"
"002055","594867776.0"
"002056","1625058048.0"
"002057","750155584.0"
"002058","143035104.0"
"002059","1012434816.0"
"002060","1562814720.0"
"002061","2599137792.0"
"002062","989923264.0"
"002063","1711369216.0"
"002064","4951990784.0"
"002065","2907921664.0"
"002066","231000000.0"
"002067","1119948032.0"
"002068","734410816.0"
"002069","710216192.0"
"002072","314360864.0"
"002073","990873280.0"
"002074","1724102912.0"
"002075","2193821952.0"
"002076","1028940352.0"
"002077","580348544.0"
"002078","2764880896.0"
"002079","809254592.0"
"002080","1678123520.0"
"002081","2643791872.0"
"002082","558255936.0"
"002083","946263040.0"
"002084","641972352.0"
"002085","2123297536.0"
"002086","1517021312.0"
"002088","504790080.0"
"002090","396017504.0"
"002091","1595424768.0"
"002092","2575616768.0"
"002093","1006866240.0"
"002094","690453568.0"
"002095","251708416.0"
"002096","700943744.0"
"002097","1072676608.0"
"002098","357984992.0"
"002099","1615653504.0"
"002100","1365251456.0"
"002101","662197184.0"
"002102","2329848832.0"
"002103","377075200.0"
"002104","599033856.0"
"002105","364471968.0"
"002106","704134656.0"
"002107","569616640.0"
"002108","1648363648.0"
"002109","1276269824.0"
"002110","2429076224.0"
"002111","478191072.0"
"002112","262080000.0"
"002114","323390816.0"
"002115","752195520.0"
"002116","457173216.0"
"002117","523554688.0"
"002119","375284000.0"
"002120","2815123968.0"
"002121","1399922432.0"
"002122","1988452864.0"
"002123","687068928.0"
"002124","1972359168.0"
"002125","629481728.0"
"002126","784178560.0"
"002127","1981260032.0"
"002128","2241573376.0"
"002129","4040013824.0"
"002130","1249149056.0"
"002131","5849723904.0"
"002132","1399482112.0"
"002133","769870208.0"
